participant,exactlocation
ej-01,Tokyo
ej-02,Tokyo
ej-03,Tokyo
ej-04,Tokyo
ej-05,Tokyo
ej-06,Tokyo
ej-07,Tokyo
ej-08,Tokyo
ej-09,Tokyo
wj-01,Tokyo
wj-02,Osaka
wj-03,Nagoya
wj-04,Nagoya
wj-05,Nagoya
wj-06,Mie
wj-07,Mie
wj-08,Mie
wj-09,Osaka
wj-10,Kyoto
wj-11,Kyoto
wj-12,Shiga
miyako-01,Miyako
miyako-02,Miyako
miyako-03,Miyako
miyako-04,Sarahama
miyako-05,Kuninaka
miyako-06,Irabu
miyako-07,Nishihara
miyako-08,Nishihara
miyako-09,Nishihara
miyako-10,Irabu
miyako-11,Irabu
miyako-12,Shimoji
miyako-13,Gusukube
miyako-14,Karimata
miyako-15,Tarama
miyako-16,Ueno
miyako-17,Gusukube
miyako-18,Gusukube
miyako-19,Ikema
miyako-20,Shimajiri
nryu-01,Koniya
nryu-02,Koniya
nryu-03,Koniya
nryu-04,Yoron
nryu-05,Naze
nryu-06,Sani
nryu-07,Kasari
nryu-08,Kasari
nryu-09,Naze
nryu-10,Sumiyo
nryu-11,Yoron
nryu-12,Yoron
nryu-13,Yoron
nryu-14,Okinawa
nryu-15,Genka
tohoku-01,Hachinohe
tohoku-02,Hachinohe
tohoku-03,Iwate
tohoku-04,Hachinohe
tohoku-05,Hachinohe
tohoku-06,Hachinohe
tohoku-07,Hachinohe
tohoku-08,Hachinohe
tohoku-09,Hachinohe
tohoku-10,Misawa
tohoku-11,Hirosaki
tohoku-12,Niigata
yaeyama-01,Ibaruma
yaeyama-02,Ookawa
yaeyama-03,Kabira
yaeyama-04,Taketomi
yaeyama-05,Shiraho
yaeyama-06,Shiraho
yaeyama-07,Shiraho
yaeyama-08,Shiraho
yaeyama-09,Shiraho
yaeyama-10,Shiraho
yaeyama-11,Hirae
yaeyama-12,Hirae
